PT625_1,PT621_1,PT620_1,PT616_1,PT612_1,TE607_1,TE604_1,TE603_1,PT625_2,PT621_2,PT620_2,PT616_2,PT612_2,TE607_2,TE604_2,TE603_2,ITS1,ITS2,ITS3,ITS4,ITS5
19.79921875,14.378875299999999,4.786637692,60.2921875,51.29960938,226.496875,222.1,219.3875,19.799218766445232,14.37887530011943,4.786637692039758,60.29218749949921,51.29960933739054,226.4968751881283,222.10000018447627,219.38750018222325,1.0,1.0,1.0,1.0,1.0
20.39648438,14.28011905,4.786637692,60.996875,52.19765625,226.496875,221.79375,219.08125,20.396484400323057,14.280119050142288,4.7866376920476945,60.996874999392226,52.197656197990256,226.4968752256815,221.7937502209953,219.08125021829258,1.0,1.0,1.0,1.0,1.0
19.69609375,14.28011905,4.685734566,61.1,52.19765625,226.78125,221.79375,219.3875,19.696093769928506,14.280119050144485,4.68573456604741,61.099999999381794,52.19765619718641,226.78125022945727,221.7937502244109,219.38750022197627,1.0,1.0,1.0,1.0,1.0
20.69726563,14.47977842,4.786637692,60.89375,51.896875,227.0,221.79375,219.3875,20.697265650482013,14.479778420143294,4.786637692047369,60.89374999939739,51.896874948642854,227.0000002246392,221.79375021948707,219.38750021710584,1.0,1.0,1.0,1.0,1.0
20.19882813,14.47977842,4.786637692,61.29765625,52.4984375,227.590625,221.79375,219.08125,20.19882814941107,14.479778420139153,4.786637692046,61.297656249410934,52.49843744954901,227.59062521871456,221.79375021314377,219.0812502105371,1.0,1.0,1.0,1.0,1.0
19.0,14.47977842,4.685734566,61.1,52.59726563,227.590625,221.79375,219.08125,19.0000000166364,14.479778420126786,4.685734566041028,61.09999999946501,52.597265583945834,227.59062519927835,221.7937501942026,219.08125019182756,1.0,1.0,1.0,1.0,1.0
20.99804688,14.47977842,4.786637692,60.89375,52.69609375,227.590625,222.1,219.3875,20.998046892628228,14.479778420087083,4.786637692028788,60.89374999963378,52.69609371830857,227.590625136873,222.10000013357094,219.38750013193965,1.0,1.0,1.0,1.0,1.0
20.39648438,14.28011905,4.885393943,60.59296875,52.4984375,227.590625,222.1,219.3875,20.396484381533817,14.28011905001074,4.885393943003675,60.59296874995444,52.49843749605212,227.59062501711483,222.10000001670193,219.38750001649794,1.0,1.0,1.0,1.0,1.0
20.49960938,14.378875299999999,4.885393943,61.29765625,52.19765625,227.590625,222.1,219.584375,20.499609409712132,14.378875300208406,4.8853939430708095,61.297656249111554,52.197656174344715,227.59062532986982,222.10000032191172,219.5843753182656,1.0,1.0,1.0,1.0,1.0
19.69609375,14.28011905,4.786637692,60.89375,52.39960938,227.590625,222.1,219.3875,19.69609382677537,14.280119050556637,4.786637692186583,60.89374999762636,52.39960917574632,227.59062588714824,222.10000086574578,219.38750085517245,1.0,1.0,1.0,1.0,1.0
20.29765625,14.378875299999999,4.786637692,60.89375,52.39960938,227.0,222.1,219.3875,20.297656409933353,14.37887530113297,4.786637692377159,60.89374999520194,52.39960896712252,227.0000017886238,222.10000175001474,219.38750172864187,1.0,1.0,1.0,1.0,1.0
19.79921875,14.17921592,4.786637692,60.89375,51.3984375,227.0,221.79375,219.08125,19.799219025874397,14.179215921975677,4.786637692666952,60.89374999151531,51.398436783834725,227.00000316292721,221.7937530903854,219.08125305259054,1.0,1.0,1.0,1.0,1.0
19.996875,14.28011905,4.685734566,60.4984375,52.19765625,227.0,221.79375,219.3875,19.996875453573114,14.280119053239043,4.685734567062827,60.49843748627762,52.19765506604232,227.00000514885937,221.79375503077017,219.3875049761911,1.0,1.0,1.0,1.0,1.0
19.59726563,14.378875299999999,4.786637692,60.69609375,51.59609375,226.78125,222.1,219.3875,19.597266312541404,14.378875305007933,4.78663769366711,60.696093728860525,51.596091952990605,226.78125789842807,222.10000773538763,219.38750764091557,1.0,1.0,1.0,1.0,1.0
20.49960938,14.378875299999999,4.786637692,60.69609375,52.09882813,226.190625,222.1,219.3875,20.499610428698514,14.378875307355798,4.7866376944487,60.696093718949705,52.098825464780255,226.1906365712338,222.10001136196968,219.38751122320633,1.0,1.0,1.0,1.0,1.0
19.39960938,14.378875299999999,4.885393943,60.09453125,52.09882813,225.884375,222.1,219.08125,19.39961078713903,14.37887531042963,4.885393946543592,60.09453120641079,52.09882435104276,225.8843913843876,222.10001610989025,219.08126589092703,1.0,1.0,1.0,1.0,1.0
18.896875,14.47977842,4.786637692,61.29765625,52.19765625,225.884375,222.1,219.3875,18.896876887960328,14.479778434466544,4.786637696782263,61.29765618875837,52.197651035005244,225.8843975677917,222.10002218970007,219.38752191869798,1.0,1.0,1.0,1.0,1.0
19.39960938,14.28011905,4.786637692,61.19453125,52.09882813,226.190625,222.1,219.08125,19.399611985546017,14.280119069179515,4.786637698428895,61.19453116781011,52.09882113264808,226.1906553794819,222.1000298300733,219.08127942462744,1.0,1.0,1.0,1.0,1.0
20.69726563,14.378875299999999,4.786637692,61.1,52.59726563,226.190625,221.79375,219.584375,20.697269290257616,14.378875325428666,4.786637700465045,61.09999989194624,52.59725632831033,226.19066500122395,221.79378922364802,219.5844138329258,1.0,1.0,1.0,1.0,1.0
19.39960938,14.378875299999999,4.786637692,61.3921875,52.09882813,226.190625,221.79375,219.584375,19.399613817001057,14.378875332886787,4.786637702947806,61.392187359586245,52.09881621416442,226.190676733415,221.79380072777928,219.58442522245988,1.0,1.0,1.0,1.0,1.0
21.39765625,14.47977842,4.786637692,61.5984375,52.09882813,226.190625,221.79375,219.3875,21.397662480770684,14.479778462163582,4.786637705938182,61.59843732063189,52.0988129593735,226.1906908643124,221.79381458398896,219.38756388331447,1.0,1.0,1.0,1.0,1.0
19.996875,14.28011905,4.786637692,60.79921875,52.19765625,226.190625,221.79375,219.3875,19.996882311329426,14.280119102211485,4.786637709501077,60.79921852770371,52.19763716530501,226.1907077006306,221.79383109302933,219.38758021324756,1.0,1.0,1.0,1.0,1.0
20.19882813,14.378875299999999,4.786637692,61.5984375,52.4984375,226.190625,221.79375,219.584375,20.198837289283844,14.378875365201901,4.786637713705306,61.59843722067807,52.498413694258026,226.19072756754127,221.79385057375103,219.58447457189624,1.0,1.0,1.0,1.0,1.0
19.996875,14.28011905,4.786637692,60.996875,51.896875,226.190625,221.79375,219.3875,19.996886122389856,14.280119129426934,4.786637718623585,60.99687466073148,51.89684613462598,226.19075080867327,221.79387336310322,219.38762202473157,1.0,1.0,1.0,1.0,1.0
20.49960938,14.47977842,4.685734566,60.59296875,52.79921875,226.190625,221.79375,219.3875,20.499623226973643,14.479778517807285,4.685734597650966,60.59296834070964,52.799183085447716,226.19077778611242,221.79389981613326,219.38764819077153,1.0,1.0,1.0,1.0,1.0
19.4984375,14.28011905,4.786637692,60.09453125,52.39960938,226.496875,222.384375,219.3875,19.498453351145574,14.280119166089428,4.7866377309127035,60.094530761464874,52.399566782030995,226.49705912936614,222.38455578613232,219.38767834983955,1.0,1.0,1.0,1.0,1.0
19.89804688,14.378875299999999,4.786637692,61.4953125,52.59726563,226.496875,222.384375,219.3875,19.89806618863887,14.378875439529528,4.786637738448508,61.495311903262646,52.597214590739014,226.49709478772044,222.38459079703847,219.38771288893508,1.0,1.0,1.0,1.0,1.0
19.69609375,14.378875299999999,4.786637692,61.29765625,52.09882813,226.78125,222.1,219.3875,19.696116393086324,14.378875465302885,4.786637747028298,61.297655545307926,52.09876823597849,226.78151071298632,222.1002553313127,219.38775221295978,1.0,1.0,1.0,1.0,1.0
20.19882813,14.47977842,4.786637692,60.79921875,52.69609375,226.78125,222.1,219.584375,20.198855451044,14.479778615854267,4.78663775674432,60.79921792762648,52.69602247297904,226.78155674554336,222.1003004136593,219.58467201101135,1.0,1.0,1.0,1.0,1.0
19.29648438,14.28011905,4.685734566,60.4984375,52.39960938,227.0,222.384375,219.3875,19.296514894186828,14.280119275816377,4.685734640097113,60.498436543317645,52.3995265187161,227.00035896281798,222.38472666397325,219.3878469249129,1.0,1.0,1.0,1.0,1.0
19.79921875,14.47977842,4.786637692,61.1,52.39960938,227.0,222.384375,219.3875,19.799255138972264,14.479778686123764,4.786637779973586,61.09999887704347,52.39951307478936,227.0004172031638,222.3847837201094,219.3879032121546,1.0,1.0,1.0,1.0,1.0
19.4984375,14.378875299999999,4.885393943,61.19453125,52.39960938,227.0,222.1,219.584375,19.49847892391571,14.378875605475407,4.885394046788905,61.194529949938335,52.39949805841322,227.0004822555072,222.10047184558653,219.58484150120765,1.0,1.0,1.0,1.0,1.0
19.0,14.47977842,4.786637692,61.1,51.896875,227.0,222.1,219.3875,19.0000464228938,14.479778773785904,4.786637808952407,61.09999850713747,51.89674819983596,227.00055463141538,222.1005426591954,219.38803603171647,1.0,1.0,1.0,1.0,1.0
19.29648438,14.378875299999999,4.786637692,61.29765625,52.39960938,227.0,221.79375,219.3875,19.29653834733463,14.378875702140387,4.786637825870021,61.29765453566123,52.39946283168591,227.0006348609788,221.79437030042828,219.38811357076207,1.0,1.0,1.0,1.0,1.0
